objectId,admin3_code,admin2_code,ACL,admin1_code,name,dem,latitude,population,updatedAt,alternatenames,longitude,feature_class,modification_date,cc2,country_code,feature_code,geonameid,ascii_name,timezone,createdAt,elevation
di3n8OJ8uQ,,547,null,2,Vuyy_ru,18,16.36307,36755,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vuyyuru,Vuyy_ru",80.84406,P,9/6/15,,IN,PPL,1253077,Vuyyuru,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
FkbtsFBcZs,,457,null,35,W_r_seon_,307,21.76184,23800,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Waraseoni,W_r_seoni,W_r_seon_",80.04301,P,9/6/15,,IN,PPL,1252946,Waraseoni,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
lJodgMybmm,,516,null,16,Yeola,562,20.0424,46762,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Yeola,Yevale,Yewle",74.48944,P,9/6/15,,IN,PPL,1252738,Yeola,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
pvR1ixl3EQ,,517,null,16,Vasind,37,19.40844,16970,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),Vasind,73.26285,P,10/13/14,,IN,PPL,1253363,Vasind,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
fbBAGP9YiQ,,604,null,25,W_l_j_b_d,62,12.79041,10543,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Dandei Sivaram,Dandei S_varam,Walajabad,Wallajahbad,W_l_j_b_d",79.82358,P,7/8/20,,IN,PPL,1252998,Walajabad,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
NAdJfHam9O,,443,null,35,Vidisha,429,23.52604,140045,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Bhilsa,Bh_lsa,Vidisa,Vidisha,Vidi_a,bidisa,vidisa,vu~idisha,wdysha,wei di si ha,______,_____,______,______,______,_______,____",77.81092,P,8/7/15,,IN,PPL,1253200,Vidisha,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
QYmP4Adb5b,,195,null,36,Zam_nia,72,25.41961,32008,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Zamania,Zaminia,Zam_nia",83.55786,P,6/10/20,,IN,PPL,1252692,Zamania,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
Ag0btyilht,,194,null,36,Zafar_b_d,86,25.69867,9106,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),,82.73354,P,8/7/15,,IN,PPL,1252702,Zafarabad,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
xflB9Wp46e,,578,null,19,Yeland_r,663,12.04629,8901,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Jagir,J_g_r,Yelandur,Yeland_r",77.03034,P,9/8/16,,IN,PPL,1252756,Yelandur,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
1oHhCYBsFP,,563,null,19,Yell_pur,559,14.9637,19343,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Yellapur,Yell_pur",74.70929,P,12/5/15,,IN,PPL,1252744,Yellapur,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
Utwzqcr0aQ,,276,null,17,Yairipok,791,24.67792,8797,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),Yairipok,94.04767,P,10/13/14,,IN,PPL,1252810,Yairipok,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
SsZr2omQ96,,543,null,2,Vizianagaram,66,18.11692,179358,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Viguyanagram,Vizianagaram,Vizianagarm,Vizianagram,Vizianagram City,Vizijanagaram,bijayanagarama,bijianagalam,bijiyanagarama,fyzynjarm,vijayanagara,vijayanagaram,vijayanagarama,vijayanakaram,vu~ijayanagaramu,wei ji ya ne ge lei mu,wjayangrm,____________,_____________,_________,_________,________,_________,___________,_______,________,_________,________,_________,_______,______",83.41148,P,10/10/14,,IN,PPLA2,1253084,Vizianagaram,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
HeXOASGD70,,503,null,16,Warud,402,21.47101,47817,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Warud,oyaruda,raaruda,varuda,wa lu de,____,____,____,_______,_____,___",78.26965,P,2/11/16,,IN,PPL,1252919,Warud,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
WuoXapgD8J,,471,null,9,Visnagar,136,23.69855,68619,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),Visnagar,72.5521,P,10/13/14,,IN,PPL,1253095,Visnagar,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
wPQo8AjkvY,,541,null,40,Yellandu,213,17.59064,43787,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Yellandlapad,Yellandlap_d,Yellandrapad,Yellandu",80.32146,P,10/10/14,,IN,PPL,1252745,Yellandu,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
dbGat8nvBc,,606,null,25,Vettavalam,158,12.10769,13808,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),Vettavalam,79.24516,P,2/4/17,,IN,PPL,1253217,Vettavalam,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
2LeowwDuqO,,237,null,34,W_ris Al_ganj,78,25.0172,35243,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Waris Aliganj,Waris Ariganj,W_ris Al_ganj,W_ris Ar_ganj",85.64047,P,10/14/14,,IN,PPL,1252930,Waris Aliganj,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
plqi2EeSsN,,489,null,9,Wagh_i,147,20.77048,6462,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Waghai,Wagh_i",73.50074,P,10/13/14,,IN,PPL,1253024,Waghai,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
EAK4S1QM6N,,617,null,25,Vriddh_chalam,41,11.5183,61498,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),,79.32411,P,7/4/17,,IN,PPL,1253080,Vriddhachalam,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
SFss9hc8tg,,693,null,40,Wanparti,401,16.36738,55182,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Wanaparthy,Wanparti",78.06889,P,5/27/18,,IN,PPLA2,1252956,Wanparti,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
MhxPOVqF3q,,607,null,25,Villupuram,50,11.93975,97380,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Villapurum,Villupuram",79.49244,P,10/14/14,,IN,PPL,1253166,Villupuram,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
k7rnvUovZo,,483,null,9,Virpur,107,23.1892,8866,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),Virpur,73.47987,P,10/4/15,,IN,PPL,1253115,Virpur,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
vBQDUtI8RG,,502,null,16,W_sh_m,550,20.11128,68622,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Basim,B_sim,Washim,W_sh_m",77.133,P,8/7/15,,IN,PPL,1252908,Washim,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
QWNEKLNykq,,471,null,9,Vij_pur,126,23.5623,24297,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vijapur,Vij_pur",72.74848,P,10/13/14,,IN,PPL,1253193,Vijapur,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
GwWC5TIob2,,255,null,30,Ziro,1579,27.59497,13893,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"ZER,Zero,Ziro",93.83854,P,12/17/16,,IN,PPL,1252668,Ziro,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
9I5K46oKiZ,,560,null,19,Yelbarga,604,15.61545,12023,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),Yelbarga,76.01184,P,10/14/14,,IN,PPL,1252753,Yelbarga,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
ufGDx9a0Z9,,580,null,19,Y_dg_r,379,16.77007,65376,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Yadgir,Y_dg_r",77.13755,P,8/7/15,,IN,PPL,1252822,Yadgir,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
bUtZ0qKTpe,,510,null,16,Wani,224,20.05507,57288,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vanja,Wani,Wun,W_n,____",78.95313,P,8/7/15,,IN,PPL,1252960,Wani,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
fjIiDVhuSp,,483,null,9,Vasa,33,22.66079,15934,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),,72.75519,P,10/13/14,,IN,PPL,1253374,Vasa,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
krlIlnnjQs,,510,null,16,Yavatm_l,446,20.39324,128175,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Yavatmal,Yavatm_l,Yeotmal,Yeotm_l",78.13201,P,4/8/15,,IN,PPL,1252770,Yavatmal,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
wWP1GLm1gM,,476,null,9,W_nk_ner,85,22.61198,47814,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vankaner Kathiawar,Wankaner,W_nk_ner",70.94379,P,6/10/20,,IN,PPL,1252958,Wankaner,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
caPcTVoZx4,,686,null,40,Warangal,258,18,557802,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Ekasila Nagaram,Orugallu,Varangal,Varangalas,WGC,Warangal,raarangala,varangal,varangal jilla,varangala,varangala-nagaram,varankal,wa lang jia er,walang-gal,warangala,warangaru,warangl,wrnjl,________,_______,_____,_____,______-_____,______,______,_________,______,_______,________,______ ______,______,_______,_____,____,___",79.58333,P,5/27/18,,IN,PPLA2,1252948,Warangal,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
QszMz5Baek,,549,null,2,Vetap_lem,11,15.78502,38007,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vetapalem,Vetap_lem,Vet_p_lem",80.30663,P,9/6/15,,IN,PPL,1253220,Vetapalem,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
qA4tSfagaZ,,625,null,25,Virudunagar,105,9.58509,73273,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Virudhupatti,Virudunagar,Virudupatti",77.95787,P,6/30/16,,IN,PPL,1253113,Virudunagar,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
InW8h4pBl3,,627,null,25,Vilattikulam,28,9.13227,14802,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vilatikulam,Vilattikulam,Vil_ttikulam",78.16635,P,6/30/16,,IN,PPL,1253175,Vilattikulam,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
RX1b2lK58h,,534,null,40,Vemalw_da,338,18.46523,22920,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Lembulavataka,Lemulavada,Vemalwada,Vemalw_da,Vemulavada",78.86894,P,10/10/14,,IN,PPL,1253275,Vemalwada,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
cztNO2VBAJ,,586,null,33,Vasco da Gama,7,15.39585,100485,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"GOI,Vasco,Vasco da Gama,Vasko-da-Gama,_____-__-____",73.81568,P,11/12/17,,IN,PPL,1253367,Vasco da Gama,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
E8KVxtuezR,,509,null,16,Warora,208,20.22885,41523,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),Warora,79.00277,P,8/7/15,,IN,PPL,1252925,Warora,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
tc5UZkLrSs,,484,null,9,Vejalpur,113,22.69021,121610,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),Vejalpur,73.56299,P,10/13/14,,IN,PPL,1253315,Vejalpur,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
XDNx3Fwsio,,,null,41,Thang,2726,34.9274,1622,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),,76.79336,P,9/10/20,,IN,PPL,1163626,Thang,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),3890
buAdtknVug,,535,null,40,Zahir_b_d,626,17.68138,46504,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Zahirabad,Zahir_b_d",77.60743,P,10/10/14,,IN,PPL,1252699,Zahirabad,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
xM3L9yCVER,,531,null,16,Vite,689,17.27343,45973,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vita,Vite,____",74.53792,P,10/13/14,,IN,PPL,1253091,Vite,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
AQvvdqU1Gq,,572,null,19,Yelahanka,903,13.10073,116447,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Yelahanka,yalahanka,ye la han ka,yelahanka,_______,_____,___________,_____,____",77.59632,P,10/4/15,,IN,PPL,1252758,Yelahanka,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
p7ElcAb93s,,550,null,2,Venkatagiri,68,13.96005,32761,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Venkatagiri,Venkatagiri Town",79.58032,P,1/4/17,,IN,PPL,1253251,Venkatagiri,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
9m2wRmIG46,,628,null,25,Vadakku Viravanallur,66,8.69786,19689,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vadakku Viravanallur,Vadakku Viravanall_r,Viravanallur,Viravanall_r",77.51916,P,8/2/17,,IN,PPL,1253127,Vadakku Viravanallur,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
eA1xiMgjKF,,579,null,19,W_di,431,17.05183,30602,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vadi,Wadi,W_di,____",76.99048,P,8/7/15,,IN,PPL,1253041,Wadi,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
uGD8p0eKzn,,576,null,19,V_rar_jendrapet,899,12.19644,15976,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Virajpet,Virarajendrapet,Vir_jpet,V_rar_jendrapet",75.80512,P,12/5/15,,IN,PPL,1253132,Virarajendrapet,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
CyygFmiNnY,,605,null,25,Vaniyambadi,352,12.68162,90288,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vanivambadi,Vaniyambadi,V_nivamb_di,V_niyamb_di,baniyamabari,fanymbdy,vaniyamabadi,vaniyampati,wa ni ye mu ba di,wanyyambady,wnymbdy,________,___________,_______,__________,____________,___________,______",78.62014,P,10/14/14,,IN,PPL,1253437,Vaniyambadi,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
H4MDaFIJ6o,,626,null,25,Keelakarai,14,9.23183,30468,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Kilakarai,Kilakari,K_lakarai,kai ai la ka lai,kilakara'i,kilakkarai,_________,_________,________,_____",78.78545,P,10/14/14,,IN,PPL,1252646,Keelakarai,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
zzbtlAoFUc,,612,null,25,Vedasand_r,218,10.53102,12493,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vedasandur,Vedasand_r",77.95019,P,9/5/17,,IN,PPL,1253328,Vedasandur,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
8KDY9F2C72,,105,null,24,Wer,222,27.0186,18268,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),,77.17636,P,10/14/14,,IN,PPL,1252885,Wer,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
4y8OKts8F4,,499,null,16,Y_val,215,21.16772,32881,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),,75.69762,P,1/7/16,,IN,PPL,1252773,Yaval,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
Se0jieWGfu,,24,null,11,Yol,672,32.16423,11314,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),Yol,76.19622,P,9/6/15,,IN,PPL,1252714,Yol,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
KXKDAvZAoN,,527,null,16,Wai,710,17.95276,32957,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vaj,Wai,va'i,___,____ ________,___,___",73.89058,P,10/13/14,,IN,PPL,1253013,Wai,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
9KMYPfuLYz,,504,null,16,Wardha,292,20.73933,113759,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vardha,Vardh�,Vardkha,Varntcha,Wardha,oyaradha,raaradha,vardha,varta,waruda,wo er ta,_______,______,_____,_____,_______,_____,_____,_____,____,___",78.59784,P,8/7/15,,IN,PPL,1252942,Wardha,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
XsP1kZj2nE,,71,null,10,Yamun_nagar,278,30.12796,208931,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Abdullahpur,Abdullapur,Abdull_hpur,Jamna Nagar,Yamuna Nagar,Yamunanagar,Yamun_nagar",77.28371,P,6/10/20,,IN,PPL,1252797,Yamunanagar,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
LxjnDun5Jf,,276,null,17,W_ngjing,793,24.58921,7528,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vanczin,Wangjing,W_ngjing,_______",94.06386,P,10/13/14,,IN,PPL,1252964,Wangjing,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
FynjA517g3,,476,null,9,Vinchia,175,22.21027,12355,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vichhia,Vinchia",71.37967,P,10/13/14,,IN,PPL,1253162,Vinchia,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
C1DpzBVdh7,,517,null,16,Vir_r,9,19.45591,150357,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Virar,Vir_r",72.81136,P,10/13/14,,IN,PPL,1253133,Virar,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
tbX3HcDOfI,,698,null,40,Vik_r_b_d,638,17.3381,43337,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vicarabad,Vikarabad,Vik_r_b_d",77.90441,P,5/28/18,,IN,PPLA2,1253182,Vikarabad,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
H3EGswdUL5,,544,null,2,Visakhapatnam,24,17.68009,1063178,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"VTZ,Vaisakhapattanam,Vais_khapattanam,Visak,Visakha,Visakhapatnam,Visakhapatnamas,Vishakhapatnam,Vishakkhapatnam,Vish_khapatnam,Vis�khapatnam,Vizag,Vizag City,Vizagapatam,Vizagapatnam,bisakhapatana,bisakhapattama,bisyakapateunam,fshakabatnm,fysakhabatnam,fyshakhabatnam,vicakappattinam,visakhapatanama,visakhapatnam,visakhapattanam,visakhapattanama,vu~ishakapatonamu,w shak_a p_nm,wei sha ka pa te nan,wisakha pat tnam,wshakapatnm,wshak_ p_nm,wshak_ap_nm,wysakapatnam,____________,___________a_,_____________,_____________,__________,____________,____________,_ _____ ____,__________,_____ ____,__________,___________,____________,____________,____________,____________,____________,___________,__________,___________,_______________,__________,___________,___________,_____________,_____________,______________,__________,______,______",83.20161,P,9/5/19,,IN,PPLA2,1253102,Visakhapatnam,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
KaO8TESrIp,,493,null,9,Vy_ra,90,21.11079,38168,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vvara,Vyara,Vy_ra",73.39365,P,6/10/20,,IN,PPL,1253074,Vyara,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
5gXMyG0Lls,,481,null,9,Vartej,31,21.73947,10271,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),Vartej,72.06553,P,10/13/14,,IN,PPL,1253381,Vartej,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
BcrVYDquYY,,618,null,25,Vedaraniyam,9,10.37208,32245,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vedaranayam,Vedaraniam,Vedaranniyam,Ved_ranniyam",79.85095,P,10/14/14,,IN,PPL,1253330,Vedaraniyam,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
